age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,CLIENT_ID
28, Private,144833, Some-college,10.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0,12265
21, Private,109952, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,27400
57, Self-emp-not-inc,275943, 7th-8th,4.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, ?,0,26246
55, Private,120970, 10th,6.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,1,24372
29, Private,253262, Some-college,10.0, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States,0,3038
19, Private,274657, 5th-6th,3.0, Never-married, Other-service, Not-in-family, White, Male,0,0,50, Guatemala,0,19550
27, Private,279608, 5th-6th,3.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico,0,7821
36, Private,183425, Some-college,10.0, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0,4238
26, Private,195994, Some-college,10.0, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States,0,25955
35, Federal-gov,475324, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1,21834
55, Self-emp-not-inc,184702, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0,3967
31, Private,178370, HS-grad,9.0, Divorced, Other-service, Unmarried, White, Female,0,0,99, United-States,1,21335
34, Private,434463, Bachelors,13.0, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,39, United-States,0,18369
33, Private,273243, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,0,20055
27, Private,156516, Some-college,10.0, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,2377,20, United-States,0,25420
22, Private,416356, Some-college,10.0, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States,0,4283
35, Private,204621, Assoc-acdm,12.0, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States,0,30103
62, ?,73091, 7th-8th,4.0, Widowed, ?, Not-in-family, Black, Male,0,0,40, United-States,0,7942
40, Private,180032, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,1669,40, United-States,0,2080
37, Private,545483, Assoc-acdm,12.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,0,30623
21, ?,152328, Some-college,10.0, Never-married, ?, Own-child, White, Male,0,0,20, United-States,0,23504
31, Private,298995, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,35, United-States,0,10223
17, ?,280670, 10th,6.0, Never-married, ?, Own-child, White, Female,0,0,40, United-States,0,24645
48, ?,185291, Bachelors,13.0, Married-civ-spouse, ?, Husband, White, Male,0,0,6, United-States,0,7660
33, Self-emp-inc,139057, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,84, Taiwan,1,1990
17, Private,220384, 11th,7.0, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States,0,32219
35, Self-emp-inc,175769, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States,1,11544
18, Never-worked,206359, 10th,6.0, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0,28878
61, ?,198542, Bachelors,13.0, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States,0,30758
25, Private,135603, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,1,23798
27, Self-emp-not-inc,70657, Some-college,10.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States,0,14148
28, Private,197905, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,0,3455
40, Private,79036, Assoc-voc,11.0, Divorced, Transport-moving, Not-in-family, White, Male,0,0,50, United-States,1,13545
23, Local-gov,157331, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0,10134
31, Private,309620, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,6, South,0,13643
27, Private,32519, Some-college,10.0, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,55, South,0,14745
27, Private,176683, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Male,0,0,48, United-States,0,10041
45, Self-emp-inc,108100, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,99999,0,25, ?,1,13959
47, Self-emp-not-inc,102359, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States,0,28177
53, Private,30447, HS-grad,9.0, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States,0,7694
49, Private,200471, 11th,7.0, Never-married, Other-service, Not-in-family, White, Male,0,0,60, United-States,0,5266
49, Private,252079, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,1,20331
53, Private,194501, 11th,7.0, Widowed, Other-service, Own-child, White, Female,0,0,47, United-States,0,13853
25, Private,197036, 10th,6.0, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0,5238
33, State-gov,79440, Masters,14.0, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Japan,0,17563
33, Private,85043, HS-grad,9.0, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,20, United-States,0,8061
39, Private,48093, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0,23058
19, Private,358631, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States,0,9075
34, Private,77271, HS-grad,9.0, Never-married, Exec-managerial, Unmarried, White, Female,0,0,20, England,0,6244
40, Private,169995, HS-grad,9.0, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States,0,7716
48, Private,236858, 11th,7.0, Divorced, Other-service, Not-in-family, White, Female,0,0,31, United-States,0,22757
18, Private,116528, Some-college,10.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,30, United-States,0,7443
45, Local-gov,167159, Bachelors,13.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States,1,11429
45, Private,102771, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States,1,11769
33, Private,186824, Assoc-voc,11.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0,29362
31, Private,197672, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0,28300
46, Self-emp-inc,110457, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States,1,19661
36, Private,175759, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, United-States,1,22111
20, Private,50397, HS-grad,9.0, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States,0,11384
17, Private,140117, 10th,6.0, Never-married, Sales, Own-child, White, Female,0,0,12, United-States,0,15778
28, Private,98010, Some-college,10.0, Married-spouse-absent, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0,24860
17, ?,219277, 11th,7.0, Never-married, ?, Own-child, White, Female,0,0,20, United-States,0,12369
25, Private,38488, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0,4578
47, Private,256866, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States,0,22086
35, Local-gov,190226, HS-grad,9.0, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States,0,25124
40, Private,176286, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,23987
50, Self-emp-not-inc,155118, HS-grad,9.0, Divorced, Exec-managerial, Not-in-family, White, Female,99999,0,35, United-States,1,4831
41, Private,198965, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0,21012
40, Private,125461, Assoc-voc,11.0, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,42, United-States,0,22678
33, Private,178429, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1,26423
22, Private,383603, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0,30205
48, Local-gov,242923, HS-grad,9.0, Married-civ-spouse, Tech-support, Wife, White, Female,0,1848,40, United-States,1,29516
37, Private,243409, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States,0,22515
22, Private,401335, Some-college,10.0, Never-married, Other-service, Unmarried, Black, Female,0,0,30, United-States,0,22078
61, Private,125155, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0,1988
21, Self-emp-not-inc,57298, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States,0,13779
21, Private,30619, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,38, United-States,0,15236
69, Self-emp-not-inc,240562, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States,1,24577
39, Private,236136, Assoc-voc,11.0, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,0,27569
78, ?,74795, Assoc-acdm,12.0, Widowed, ?, Not-in-family, White, Female,0,0,4, United-States,0,12207
37, Private,161141, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1,19355
22, ?,154235, Some-college,10.0, Married-civ-spouse, ?, Wife, White, Female,3781,0,35, United-States,0,14810
21, Private,206681, Some-college,10.0, Never-married, Sales, Own-child, White, Female,0,0,15, United-States,0,26595
62, State-gov,162678, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0,24787
23, Private,117789, Bachelors,13.0, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0,20477
29, Private,192283, Some-college,10.0, Never-married, Other-service, Other-relative, White, Female,0,0,20, United-States,0,6903
37, Self-emp-not-inc,258037, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0,0,45, Cuba,1,662
48, Private,329778, HS-grad,9.0, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States,0,28254
50, ?,260579, HS-grad,9.0, Married-civ-spouse, ?, Husband, Black, Male,0,0,40, United-States,0,6831
24, Private,279041, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States,0,11834
48, Private,254809, 10th,6.0, Divorced, Machine-op-inspct, Unmarried, White, Female,0,1594,32, United-States,0,21888
51, Private,41474, 10th,6.0, Married-civ-spouse,, Husband, White, Male,0,0,40, Mexico,0,797
32, Private,53260, HS-grad,9.0, Divorced, Other-service, Unmarried, Other, Female,0,0,28, United-States,0,4057
30, Private,255279, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0,0,20, United-States,0,26682
51, Self-emp-not-inc,311569, HS-grad,9.0, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States,0,5246
22, Private,200593, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,0,4815
52, Private,416129, Preschool,1.0, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador,0,17512
44, Local-gov,193882, Assoc-voc,11.0, Never-married, Tech-support, Not-in-family, White, Male,0,1340,40, United-States,0,28402
60, Self-emp-not-inc,143932, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0,13275
57, State-gov,183657, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,35, United-States,1,10453
29, Private,116613, Bachelors,, Never-married,, Own-child, White, Female,0,0,40, Portugal,0,610
23, Private,118023, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, ?,0,15321
45, Self-emp-inc,271901, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,32, United-States,1,5598
25, ?,156848, Some-college,10.0, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0,4637
28, Private,136985, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States,0,9012
55, Private,266343, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,46, United-States,0,29199
40, Private,100292, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States,1,2707
31, Self-emp-not-inc,252752, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0,2415,40, United-States,1,25897
45, Private,38240, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,31627
23, ?,184699, HS-grad,9.0, Never-married, ?, Unmarried, Black, Female,0,0,40, United-States,0,1459
56, Self-emp-not-inc,233312, Masters,14.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,1,12936
51, Private,226735, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,0,5937
26, Local-gov,206721, Bachelors,13.0, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States,0,27756
23, Private,197666, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,24, Greece,0,25236
36, Private,272944, Assoc-voc,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,1,174
30, Private,19847, Some-college,10.0, Divorced, Tech-support, Own-child, White, Female,0,0,40, United-States,0,27529
38, Local-gov,147258, HS-grad,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States,0,12994
38, Private,266645, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,1,20914
21, ?,433330, Some-college,10.0, Never-married, ?, Unmarried, White, Male,0,0,40, United-States,0,10182
44, Self-emp-not-inc,156687, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,42, Japan,0,14891
21, Private,216181, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0,0,35, United-States,0,19686
52, Private,92968, Bachelors,13.0, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, ?,0,12247
30, Self-emp-inc,321990, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, ?,1,22346
24, Private,191948, HS-grad,9.0, Divorced, Sales, Unmarried, White, Female,0,0,30, United-States,0,2411
33, Private,182246, HS-grad,9.0, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0,24111
28, Private,173611, HS-grad,9.0, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States,0,14247
60, ?,290593, Masters,14.0, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,0,10122
37, Private,70240, HS-grad,9.0, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Philippines,0,21154
28, Private,69107, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,0,27136
41, Local-gov,184466, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States,1,29112
54, Local-gov,152540, Some-college,10.0, Divorced, Craft-repair, Unmarried, White, Male,0,0,42, United-States,0,7507
24, Private,201603, HS-grad,, Divorced,, Not-in-family, White, Male,0,0,30, United-States,0,520
38, Self-emp-not-inc,197365, HS-grad,9.0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0,12254
48, Private,120131, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,70, United-States,1,8341
70, ?,173736, Bachelors,13.0, Married-civ-spouse, ?, Husband, White, Male,0,0,6, United-States,0,785
56, Private,157749, Some-college,10.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States,1,3264
51, Federal-gov,293196, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1,17012
63, Private,236338, HS-grad,9.0, Married-civ-spouse, Sales, Wife, White, Female,0,0,35, United-States,0,25950
22, Private,554317, 9th,5.0, Married-spouse-absent, Other-service, Other-relative, White, Male,0,0,35, Mexico,0,22934
33, Private,194901, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0,3834
52, Self-emp-inc,415037, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States,1,14668
24, Private,190709, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States,0,18836
60, Private,202226, Some-college,10.0, Divorced, Craft-repair, Own-child, White, Male,0,0,44, United-States,1,19480
41, Private,121718, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy,0,15691
17, Private,140027, 11th,7.0, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States,0,17358
34, Private,591711, Some-college,10.0, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,48, ?,0,4099
24, Private,157894, Some-college,10.0, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States,0,17252
51, Private,251841, Assoc-voc,11.0, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,43, United-States,0,10226
64, ?,211360, HS-grad,9.0, Widowed, ?, Not-in-family, White, Female,0,0,30, United-States,0,15021
49, Private,164799, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1,12871
30, Private,340917, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States,1,13621
34, Private,265807, Some-college,10.0, Separated, Craft-repair, Not-in-family, White, Male,0,0,45, United-States,0,3247
32, Private,227214, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Ecuador,0,28380
32, Private,226267, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Mexico,0,4952
40, Self-emp-inc,132222, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0,3736
35, Private,170263, Some-college,10.0, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States,0,1863
75, ?,222789, Bachelors,13.0, Widowed, ?, Not-in-family, White, Female,0,0,6, United-States,0,19860
39, Federal-gov,65324, Prof-school,15.0, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,1,26282
46, Federal-gov,340718, 11th,7.0, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,26478
34, State-gov,154246, Bachelors,13.0, Divorced, Prof-specialty, Not-in-family, White, Male,4865,0,55, United-States,0,26754
36, Private,83089, 5th-6th,3.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,40, Mexico,1,5559
28, Private,123147, Some-college,10.0, Never-married, Tech-support, Not-in-family, White, Female,4865,0,40, United-States,0,19789
53, Private,89400, Some-college,10.0, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,0,9146
25, Private,209286, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,9450
41, Private,274363, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,42, United-States,1,26265
37, Private,220314, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Mexico,0,2221
75, Self-emp-not-inc,165968, Assoc-voc,11.0, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States,0,2042
39, Private,509060, Some-college,10.0, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States,0,15815
28, Private,171133, Assoc-voc,11.0, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0,15412
39, Private,393480, HS-grad,9.0, Separated, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,0,27744
52, Self-emp-not-inc,89028, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,0,10649
30, Self-emp-not-inc,250499, Some-college,10.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,55, United-States,1,22141
22, Private,41837, Some-college,10.0, Never-married, Transport-moving, Own-child, White, Male,0,0,25, United-States,0,22344
58, Self-emp-not-inc,193434, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States,0,24704
58, Private,209423, 1st-4th,2.0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,38, Cuba,0,2223
35, Private,189092, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1,20682
25, Private,144478, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0,0,40, Poland,0,31979
33, Private,400416, 10th,6.0, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States,0,16220
29, Private,53271, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1,5935
38, Private,37028, Some-college,10.0, Divorced, Sales, Unmarried, White, Female,0,0,38, United-States,0,18770
18, Private,387568, 10th,6.0, Never-married, Sales, Own-child, White, Male,0,0,10, United-States,0,27896
22, Private,50163, 9th,5.0, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,0,27168
47, Federal-gov,126204, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0,8054
71, Private,152307, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2377,45, United-States,1,1156
36, Private,393673, Assoc-acdm,12.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States,1,11746
36, Self-emp-not-inc,321274, Bachelors,13.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,0,31186
29, Private,233421, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,3411,0,45, United-States,0,24504
31, Private,188961, Assoc-acdm,12.0, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,0,23730
19, Private,185695, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States,0,22247
35, ?,226379, HS-grad,9.0, Married-civ-spouse, ?, Other-relative, White, Female,0,0,25, United-States,0,10890
39, Self-emp-not-inc,93319, HS-grad,9.0, Never-married, Sales, Other-relative, White, Female,0,0,4, United-States,0,6645
38, Private,233717, Some-college,10.0, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,60, United-States,0,4359
38, Private,205359, 11th,7.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,32, United-States,0,6595
27, Private,199314, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Poland,0,4920
36, Self-emp-inc,77146, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, United-States,1,30909
19, Self-emp-not-inc,137578, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0,0,53, United-States,0,17094
24, Private,221955, Bachelors,13.0, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, United-States,0,21678
61, Private,195595, 7th-8th,4.0, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Guatemala,0,23269
25, Private,104993, 9th,5.0, Never-married, Handlers-cleaners, Own-child, Black, Male,2907,0,40, United-States,0,6954
51, Private,155408, HS-grad,9.0, Married-spouse-absent, Sales, Not-in-family, Black, Female,0,0,38, United-States,0,3400
28, Private,142264, 9th,5.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, Dominican-Republic,0,31937
48, Self-emp-not-inc,370119, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1,25877
51, Local-gov,133050, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States,1,6949
27, Private,188171, 10th,6.0, Never-married, Adm-clerical, Own-child, White, Male,0,0,60, United-States,0,28861
21, Private,203894, Assoc-voc,11.0, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0,1284
26, Self-emp-not-inc,200681, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc),0,16011
28, Federal-gov,214858, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,48, United-States,0,32404
19, Private,127491, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,0,27970
42, Private,350387, HS-grad,9.0, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,15, United-States,0,9678
34, Local-gov,240252, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1,21714
33, Local-gov,224185, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0,8477
21, Self-emp-not-inc,103277, 12th,8.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,4508,0,30, Portugal,0,17081
43, Private,245487, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Mexico,0,9159
29, Private,218785, Some-college,10.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,65, United-States,0,10685
76, Self-emp-not-inc,33213, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, ?,1,16606
59, Federal-gov,115389, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, United-States,0,17804
32, Private,299635, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0,24829
39, Private,148015, HS-grad,9.0, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,52, United-States,0,23661
19, Private,229756, HS-grad,9.0, Never-married, Sales, Own-child, White, Male,0,0,50, United-States,0,21431
34, Self-emp-not-inc,34572, Assoc-voc,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,1,17001
27, Private,230563, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0,6202
19, Private,214935, Some-college,10.0, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0,15615
21, Private,88926, Some-college,10.0, Never-married, Prof-specialty, Own-child, White, Male,0,0,10, United-States,0,2040
57, Private,217886, HS-grad,9.0, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,36, United-States,0,25937
29, Private,52199, HS-grad,9.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0,0,40, United-States,0,17699
34, Private,207301, HS-grad,9.0, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,20, United-States,0,1586
23, Federal-gov,173851, HS-grad,9.0, Never-married, Armed-Forces, Not-in-family, White, Male,0,0,8, United-States,0,27541
20, ?,195767, HS-grad,9.0, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0,13043
19, Private,236879, Some-college,10.0, Never-married, Exec-managerial, Own-child, White, Female,0,0,35, United-States,0,12194
34, Private,152667, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,35, United-States,0,10595
42, Private,183479, Assoc-voc,11.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1,10017
37, Private,301568, 12th,8.0, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0,13206
22, Private,264738, HS-grad,9.0, Never-married, Exec-managerial, Other-relative, White, Female,0,0,42, Germany,0,6756
23, Private,244771, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,20, Jamaica,0,23925
32, Private,175856, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0,25726
31, Private,169589, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States,0,31276
